,UPC,Title,Price,Rating,Stock,Category
0,a897fe39b1053632,A Light in the Attic,51.77,3,22,Poetry
1,90fa61229261140a,Tipping the Velvet,53.74,1,20,Historical Fiction
2,6957f44c3847a760,Soumission,50.1,1,20,Fiction
3,e00eb4fd7b871a48,Sharp Objects,47.82,4,20,Mystery
4,4165285e1663650f,Sapiens: A Brief History of Humankind,54.23,5,20,History
5,f77dbf2323deb740,The Requiem Red,22.65,1,19,Young Adult
6,2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,19,Business
7,e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,19,Default
8,e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,19,Default
9,1dfe412b8ac00530,The Black Maria,52.15,1,19,Poetry
10,0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,19,Default
11,30a7f60cd76ca58c,Shakespeare's Sonnets,20.66,4,19,Poetry
12,ce6396b0f23f6ecc,Set Me Free,17.46,5,19,Young Adult
13,3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,19,Sequential Art
14,a34ba96d4081e6a4,Rip it Up and Start Again,35.02,5,19,Music
15,deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,19,Music
16,feb7cc7701ecf901,Olio,23.88,1,19,Poetry
17,e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,19,Science Fiction
18,a18a4f574854aced,Libertarianism for Beginners,51.33,2,19,Politics
19,a22124811bfa8350,It's Only the Himalayas,45.17,2,19,Travel
20,23356462d1320d61,In Her Wake,12.84,1,19,Thriller
21,327f68a59745c102,How Music Works,37.32,2,19,Music
22,5674a18a29a43ced,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,19,Food and Drink
23,c2e46a2ee3b4a322,Chase Me (Paris Nights #2),25.27,5,19,Romance
24,00bfed9e18bb36f3,Black Dust,34.53,5,19,Romance
25,9528d0948525bf5f,Birdsong: A Story in Pictures,54.64,3,19,Childrens
26,c7d160c2c0de586f,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,19,Default
27,904208d6aa64b655,Aladdin and His Wonderful Lamp,53.13,3,19,Default
28,4c28def39d850cdf,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,18,Nonfiction
29,ccd9ffa25efabdea,Wall and Piece,44.18,4,18,Art
30,6258a1f6a6dcfe50,The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,18,Spirituality
31,3c039985229453bf,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,18,Nonfiction
32,5dada2b7be26bd03,The Elephant Tree,23.82,5,18,Thriller
33,9f6568e9c95f60b0,The Bear and the Piano,36.89,1,18,Childrens
34,6be3beb0793a53e7,Sophie's World,15.94,5,18,Philosophy
